recid,hash,chash,start,end
GUT_GENOME138446_29,050a702c80fffd859f2c,2e2330ab25bac90a9a1b,14451,15083
GUT_GENOME138446_3,d3fc65b10ef4001cf0cb,eb55be0bd0d42686d0c0,66,1826
GUT_GENOME138446_3,43bf1606475a7cb20e3f,eb55be0bd0d42686d0c0,2044,4032
GUT_GENOME138446_3,888a5434d3b0e1c03874,eb55be0bd0d42686d0c0,4050,5558
GUT_GENOME138446_3,fce44f2678b505a48819,eb55be0bd0d42686d0c0,5677,6825
GUT_GENOME138446_3,e589a3fa816971d80c20,eb55be0bd0d42686d0c0,6806,7213
GUT_GENOME138446_3,4daf3fe0f5c8259f0ccc,eb55be0bd0d42686d0c0,7307,8134
GUT_GENOME138446_3,0c67c8a4ca2a2539ca6a,eb55be0bd0d42686d0c0,8197,10791
GUT_GENOME138446_3,41b691108152af5a88d3,eb55be0bd0d42686d0c0,11133,15755
GUT_GENOME138446_3,0a44f607b8d623111020,eb55be0bd0d42686d0c0,15987,16412
GUT_GENOME138446_3,45e2da1e16dc2feb08bf,eb55be0bd0d42686d0c0,16412,17608
GUT_GENOME138446_3,7d0a979227c1ac794f00,eb55be0bd0d42686d0c0,17609,18373
GUT_GENOME138446_3,94a7f978e6b71407750a,eb55be0bd0d42686d0c0,18366,19136
GUT_GENOME138446_3,81c86a38baa4a214efc3,eb55be0bd0d42686d0c0,19219,20757
GUT_GENOME138446_3,213a6c8a8197b824b0ed,eb55be0bd0d42686d0c0,20836,21792
GUT_GENOME138446_3,3daf54f6f3aa922cbfcd,eb55be0bd0d42686d0c0,21797,22975
GUT_GENOME138446_3,d2f9e25ad2705649739a,eb55be0bd0d42686d0c0,23120,24736
GUT_GENOME138446_3,6ad6ce98c442ae9a1db4,eb55be0bd0d42686d0c0,24749,25210
GUT_GENOME138446_3,04f5c21ccd0d371017b0,eb55be0bd0d42686d0c0,25213,26499
GUT_GENOME138446_3,cf16b6cc5feb94e47e66,eb55be0bd0d42686d0c0,26723,26983
GUT_GENOME138446_3,7cb2bdabd0ea85de3996,eb55be0bd0d42686d0c0,27071,27763
GUT_GENOME138446_3,3b4c6e2e4eaf6a7e38e6,eb55be0bd0d42686d0c0,27765,28304
GUT_GENOME138446_3,957c3f5281c186825156,eb55be0bd0d42686d0c0,28387,29226
GUT_GENOME138446_3,e802009c5cb9ddba7722,eb55be0bd0d42686d0c0,29518,30375
GUT_GENOME138446_3,2a4eb9cd9384c6fbfb84,eb55be0bd0d42686d0c0,30378,30932
GUT_GENOME138446_3,282a131be2a0ceb76d5f,eb55be0bd0d42686d0c0,31414,32433
GUT_GENOME138446_3,25e273ca16c6b5df158d,eb55be0bd0d42686d0c0,32577,33845
GUT_GENOME138446_3,1cb11017eeb7d941b9fa,eb55be0bd0d42686d0c0,34497,34760
GUT_GENOME138446_3,f60e1b1f3eb6f12f7ea0,eb55be0bd0d42686d0c0,34890,35327
GUT_GENOME138446_3,369630fb6933bedc2ed1,eb55be0bd0d42686d0c0,35403,36482
GUT_GENOME138446_3,40f7975da9ce090ad9c6,eb55be0bd0d42686d0c0,36908,37492
GUT_GENOME138446_3,af8a5b26f7113e9555d7,eb55be0bd0d42686d0c0,37954,38358
GUT_GENOME138446_3,69df5767002756ec040e,eb55be0bd0d42686d0c0,39272,39748
GUT_GENOME138446_3,fd958871174499b02dac,eb55be0bd0d42686d0c0,39784,40062
GUT_GENOME138446_3,df702d8575a8ae0b3aaf,eb55be0bd0d42686d0c0,40106,42568
GUT_GENOME138446_3,1cbefd1d5df877245d38,eb55be0bd0d42686d0c0,42570,43271
GUT_GENOME138446_3,28e4dd434bc30f127f29,eb55be0bd0d42686d0c0,43390,43641
GUT_GENOME138446_3,802f25177ddc580a09e8,eb55be0bd0d42686d0c0,43888,46383
GUT_GENOME138446_3,544671168507e17762af,eb55be0bd0d42686d0c0,46703,47854
GUT_GENOME138446_3,0ef6d800cbd9b12a81c0,eb55be0bd0d42686d0c0,47964,48485
GUT_GENOME138446_3,21b297693696b4358441,eb55be0bd0d42686d0c0,48669,49193
GUT_GENOME138446_3,a40c3f32861cd766b562,eb55be0bd0d42686d0c0,49368,49895
GUT_GENOME138446_3,68d645a1e1498012ebf9,eb55be0bd0d42686d0c0,50004,50918
GUT_GENOME138446_3,9b70e4f20157e28ab3ee,eb55be0bd0d42686d0c0,51049,52191
GUT_GENOME138446_3,4fce5527649adb0ec06f,eb55be0bd0d42686d0c0,52379,52471
GUT_GENOME138446_3,f779d929d5ccf9941fe5,eb55be0bd0d42686d0c0,52675,53031
GUT_GENOME138446_3,df8dded34235017ea958,eb55be0bd0d42686d0c0,53162,53788
GUT_GENOME138446_3,d99139ba5a207033755f,eb55be0bd0d42686d0c0,53772,53993
GUT_GENOME138446_3,4b254ab173dce0d28250,eb55be0bd0d42686d0c0,54048,55118
GUT_GENOME138446_30,33447b1db58b1f1784a7,069cbd92cee9b44ee764,79,1407
GUT_GENOME138446_30,eb92c59e429aacf49ee8,069cbd92cee9b44ee764,1404,1622
GUT_GENOME138446_30,63ea680c570145a1e91a,069cbd92cee9b44ee764,1609,2133
GUT_GENOME138446_30,bae6cdb08b3f7a828ecb,069cbd92cee9b44ee764,2136,2489
GUT_GENOME138446_30,ac2d091411235403b2ba,069cbd92cee9b44ee764,2506,2850
GUT_GENOME138446_30,11ae70fdb885558fd2d0,069cbd92cee9b44ee764,2928,5444
GUT_GENOME138446_30,e301a323b09eecb0b6ca,069cbd92cee9b44ee764,5757,6362
GUT_GENOME138446_30,656ede36aca21ca0de36,069cbd92cee9b44ee764,7349,8353
GUT_GENOME138446_30,c91227342e5729a6957f,069cbd92cee9b44ee764,8340,9095
GUT_GENOME138446_30,a4aae0d62b91d858f02b,069cbd92cee9b44ee764,9088,9879
GUT_GENOME138446_30,dfad69cd5b180194625a,069cbd92cee9b44ee764,10079,10966
GUT_GENOME138446_30,4af0d0e14f31a1639ba9,069cbd92cee9b44ee764,11762,12295
GUT_GENOME138446_30,2bf3e146f3fb369668d6,069cbd92cee9b44ee764,12297,12857
GUT_GENOME138446_30,9d87d1fdb72541003cca,069cbd92cee9b44ee764,12873,13394
GUT_GENOME138446_30,544e17319d9deebf413a,069cbd92cee9b44ee764,13433,14473
GUT_GENOME138446_31,634f54b4392c3e57831a,03d2034c422117f7cbe5,1,1422
GUT_GENOME138446_31,f3d93db3e67b40dde677,03d2034c422117f7cbe5,1576,2388
GUT_GENOME138446_31,593b761e9d07e3f837eb,03d2034c422117f7cbe5,2379,3161
GUT_GENOME138446_31,18718be202f68af1f030,03d2034c422117f7cbe5,3151,3885
GUT_GENOME138446_31,79e713befefbfd564da9,03d2034c422117f7cbe5,3898,4638
GUT_GENOME138446_31,1b6cba8a8d477c842d9d,03d2034c422117f7cbe5,4726,5586
GUT_GENOME138446_31,db5b2faef9e2f4296d1d,03d2034c422117f7cbe5,5610,6140
GUT_GENOME138446_31,6b42eb0c7b735ee0d998,03d2034c422117f7cbe5,6153,6638
GUT_GENOME138446_31,e449a45a45c977e6c8ec,03d2034c422117f7cbe5,6653,7942
GUT_GENOME138446_31,54851c116ea26194dac8,03d2034c422117f7cbe5,8034,8237
GUT_GENOME138446_31,989b71d2c0293fe4fb29,03d2034c422117f7cbe5,8345,8530
GUT_GENOME138446_31,fb3c11ffbcf6b33b9d87,03d2034c422117f7cbe5,8618,9286
GUT_GENOME138446_31,7c00088b42539e1661b9,03d2034c422117f7cbe5,9410,9682
GUT_GENOME138446_31,e7ce781d7dfabb35847e,03d2034c422117f7cbe5,9682,9933
GUT_GENOME138446_31,9d0b5f6041073a3621e4,03d2034c422117f7cbe5,10012,11238
GUT_GENOME138446_31,f9391b93a7562742fd73,03d2034c422117f7cbe5,11235,11693
GUT_GENOME138446_31,7945c04885a60b3c23bd,03d2034c422117f7cbe5,11746,11931
GUT_GENOME138446_31,fefe40b973704dd95f94,03d2034c422117f7cbe5,12095,13621
GUT_GENOME138446_32,e307fe7144a6a39cd58d,5120643663931853b236,1,675
GUT_GENOME138446_32,b295d7d6d8bcb8e5f4a2,5120643663931853b236,668,1453
